96 -------- 75
89 -------- 58
87 -------- 50
87 -------- 14
83 -------- 21
83 -------- 71
83 -------- 24
79 -------- 51
79 -------- 78
77 -------- 90
75 -------- 42
73 -------- 35
70 -------- 3
70 -------- 55
68 -------- 73
60 -------- 33
60 -------- 22
58 -------- 86
56 -------- 92
55 -------- 81
51 -------- 4
49 -------- 23
46 -------- 22
45 -------- 56
45 -------- 52
43 -------- 92
41 -------- 43
40 -------- 58
31 -------- 7
24 -------- 47
21 -------- 90
20 -------- 62
13 -------- 71
10 -------- 5286
10 -------- 1535
10 -------- 9226
10 -------- 4487
10 -------- 2538
10 -------- 13
10 -------- 79
9 -------- 1322
9 -------- 2367
9 -------- 4234
9 -------- 1206
9 -------- 6424
9 -------- 5185
9 -------- 3
8 -------- 1720
8 -------- 8757
8 -------- 6648
8 -------- 9453
7 -------- 7223
7 -------- 8861
7 -------- 7749
7 -------- 74
6 -------- 2023
6 -------- 6122
6 -------- 9041
6 -------- 6293
6 -------- 367
6 -------- 40
5 -------- 382
5 -------- 4114
5 -------- 3652
5 -------- 6138
5 -------- 8020
4 -------- 742
4 -------- 3057
4 -------- 4309
4 -------- 9419
4 -------- 33
3 -------- 5392
3 -------- 7054
3 -------- 4988
3 -------- 6707
3 -------- 3330
2 -------- 1240
2 -------- 4905
2 -------- 7232
1 -------- 4630
1 -------- 3752
1 -------- 8176
1 -------- 9672
1 -------- 2003
1 -------- 30
0 -------- 1254
0 -------- 7939
0 -------- 2441
0 -------- 4077
0 -------- 4428
